test_id,current_folder,suggested_folder,summary,test_dir_name
OCP-43067,account-roles,account-roles,Validation will work when user create account-roles,OCP-43067_validation-will-work-when-user-create-account-roles
OCP-43070,account-roles,account-roles,Create/List/Delete account-roles via rosacli,OCP-43070_create-list-delete-account-roles-via-rosacli
OCP-43071,account-roles,account-roles,User can create account-roles via rosacli create account-roles in interactive mode,OCP-43071_user-can-create-account-roles-via-rosacli-create-account-roles-in-interactive-mo
OCP-45342,account-roles,account-roles,User can delete account-roles via rosacli,OCP-45342_user-can-delete-account-roles-via-rosacli
OCP-35878,admins,admins,Create/describe/delete admin user by the rosacli command,OCP-35878_create-describe-delete-admin-user-by-the-rosacli-command
OCP-32987,clusters,clusters,Delete ROSA cluster will succeed via rosacli,OCP-32987_delete-rosa-cluster-will-succeed-via-rosacli
OCP-34102,clusters,clusters,Check the basic cluster description by the rosa tool,OCP-34102_check-the-basic-cluster-description-by-the-rosa-tool
OCP-35420,clusters,clusters,Create the MOA cluster with the version in some channel-group via the rosa tool,OCP-35420_create-the-moa-cluster-with-the-version-in-some-channel-group-via-the-rosa-tool
OCP-35690,clusters,clusters,Create cluster with setting specific profiles options,OCP-35690_create-cluster-with-setting-specific-profiles-options
OCP-35894,clusters,clusters,"Create MOA clusters with the \""--disable-scp-checks\"" flag",OCP-35894_create-moa-clusters-with-the-disable-scp-checks-flag
OCP-37176,clusters,clusters,Create|scale|delete cluster into existing VPC with subnet set by ROSA tool,OCP-37176_create-scale-delete-cluster-into-existing-vpc-with-subnet-set-by-rosa-tool
OCP-37177,clusters,clusters,Check the validations of the subnets when create ROSA clusters by the ROSA tool,OCP-37177_check-the-validations-of-the-subnets-when-create-rosa-clusters-by-the-rosa-tool
OCP-38768,clusters,clusters,Create one basic/advanced ROSA clusters by rosa-cli,OCP-38768_create-one-basic-advanced-rosa-clusters-by-rosa-cli
OCP-38770,clusters,clusters,Check the basic validation for the classic rosa cluster creation by the rosa cli,OCP-38770_check-the-basic-validation-for-the-classic-rosa-cluster-creation-by-the-rosa-cli
OCP-38778,clusters,clusters,Validation for deletion ROSA cluster will work via rosacli,OCP-38778_validation-for-deletion-rosa-cluster-will-work-via-rosacli
OCP-38780,clusters,ingresses,Validation for deletion ingress of ROSA cluster will work via rosacli,OCP-38780_validation-for-deletion-ingress-of-rosa-cluster-will-work-via-rosacli
OCP-38857,clusters,clusters,The validations for networking when create cluster will work for ROSA cluster,OCP-38857_the-validations-for-networking-when-create-cluster-will-work-for-rosa-cluster
OCP-41549,clusters,clusters,Create rosa cluster with private_link will work,OCP-41549_create-rosa-cluster-with-private-link-will-work
OCP-41556,clusters,clusters,ROSACLI will validate the options when create private link cluster,OCP-41556_rosacli-will-validate-the-options-when-create-private-link-cluster
OCP-41822,clusters,clusters,User can create sts cluster including the post_clean via rosa cli,OCP-41822_user-can-create-sts-cluster-including-the-post-clean-via-rosa-cli
OCP-41823,clusters,clusters,User can create sts cluster via rosa cli in interactive mode,OCP-41823_user-can-create-sts-cluster-via-rosa-cli-in-interactive-mode
OCP-42031,clusters,clusters,ROSACLI can init and create cluster with aws security token,OCP-42031_rosacli-can-init-and-create-cluster-with-aws-security-token
OCP-42188,clusters,clusters,Create ROSA clusters with the etcd-encryption enabled by rosa-cli,OCP-42188_create-rosa-clusters-with-the-etcd-encryption-enabled-by-rosa-cli
